ID;Data Campionamento;ORA Campionamento;Valore;Tipo Grandezza
PDM13;19/07/2023;23:45:00;297.409994125366;Temperatura Ambiente
PDM14;19/07/2023;23:45:00;298.609992980957;Temperatura Ambiente
PDM15;19/07/2023;23:45:00;295.17999458313;Temperatura Ambiente
PDM16;19/07/2023;23:45:00;300.539993286133;Temperatura Ambiente
PDM17;19/07/2023;23:45:00;305.07999420166;Temperatura Ambiente
PDM18;19/07/2023;23:45:00;302.869993209839;Temperatura Ambiente
PDM19;19/07/2023;23:45:00;305.899993896484;Temperatura Ambiente
PDM20;19/07/2023;23:45:00;305.939994812012;Temperatura Ambiente
PDM21;19/07/2023;23:45:00;298.299993515015;Temperatura Ambiente
PDM22;19/07/2023;23:45:00;303.82999420166;Temperatura Ambiente
PDM26;19/07/2023;23:45:00;303.629993438721;Temperatura Ambiente
PDM27;19/07/2023;23:45:00;302.889993667603;Temperatura Ambiente
